set_name,original_selected_index,dataset_split,camera,video_file,episode_index,frame_index,timestamp_seconds,source_frame,deleted_output_file,selection_reason,notes
baseline_600,1,short,head_left,file-000.mp4,0,0,0.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000000_t000000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000000_frame000000_t000000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.145312; brightness=0.446108; contrast=0.247334; edge_density=0.078750; sharpness=0.002089
baseline_600,4,short,head_left,file-000.mp4,5,960,32.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000005_frame000960_t032000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000005_frame000960_t032000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.142243; brightness=0.454153; contrast=0.242700; edge_density=0.072708; sharpness=0.002040
baseline_600,7,short,head_left,file-000.mp4,10,1920,64.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000010_frame001920_t064000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000010_frame001920_t064000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.154778; brightness=0.453301; contrast=0.243872; edge_density=0.075469; sharpness=0.001902
baseline_600,10,short,head_left,file-000.mp4,15,2880,96.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000015_frame002880_t096000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000015_frame002880_t096000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.155122; brightness=0.453875; contrast=0.243554; edge_density=0.074323; sharpness=0.001889
baseline_600,13,short,head_left,file-000.mp4,20,3840,128.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000020_frame003840_t128000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000020_frame003840_t128000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.145268; brightness=0.454209; contrast=0.243181; edge_density=0.074479; sharpness=0.002010
baseline_600,184,short,head_left,file-001.mp4,305,0,0.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000305_frame000000_t000000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file001_episode000305_frame000000_t000000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.154126; brightness=0.456510; contrast=0.242725; edge_density=0.072969; sharpness=0.001877
baseline_600,187,short,head_left,file-001.mp4,310,960,32.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000310_frame000960_t032000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file001_episode000310_frame000960_t032000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.152593; brightness=0.455454; contrast=0.243007; edge_density=0.073177; sharpness=0.001905
baseline_600,192,short,head_left,file-001.mp4,315,1920,64.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000315_frame001920_t064000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file001_episode000315_frame001920_t064000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.156109; brightness=0.455319; contrast=0.243221; edge_density=0.073490; sharpness=0.001864
baseline_600,195,short,head_left,file-001.mp4,320,2880,96.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000320_frame002880_t096000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file001_episode000320_frame002880_t096000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.152195; brightness=0.454128; contrast=0.244578; edge_density=0.076615; sharpness=0.001936
baseline_600,199,short,head_left,file-001.mp4,325,3840,128.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000325_frame003840_t128000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file001_episode000325_frame003840_t128000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.149354; brightness=0.454075; contrast=0.243375; edge_density=0.077344; sharpness=0.001971
baseline_600,367,short,head_left,file-002.mp4,610,0,0.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000610_frame000000_t000000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file002_episode000610_frame000000_t000000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.151961; brightness=0.454773; contrast=0.243088; edge_density=0.074271; sharpness=0.001921
baseline_600,370,short,head_left,file-002.mp4,615,960,32.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000615_frame000960_t032000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file002_episode000615_frame000960_t032000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.151674; brightness=0.455340; contrast=0.242352; edge_density=0.074115; sharpness=0.001918
baseline_600,373,short,head_left,file-002.mp4,620,1920,64.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000620_frame001920_t064000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file002_episode000620_frame001920_t064000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.155715; brightness=0.454362; contrast=0.243772; edge_density=0.073333; sharpness=0.001876
baseline_600,377,short,head_left,file-002.mp4,625,2880,96.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000625_frame002880_t096000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file002_episode000625_frame002880_t096000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.150752; brightness=0.454727; contrast=0.244432; edge_density=0.077031; sharpness=0.001951
baseline_600,380,short,head_left,file-002.mp4,630,3840,128.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000630_frame003840_t128000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file002_episode000630_frame003840_t128000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.157310; brightness=0.454467; contrast=0.243271; edge_density=0.071875; sharpness=0.001848
baseline_600,550,short,head_left,file-003.mp4,915,0,0.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file003_episode000915_frame000000_t000000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file003_episode000915_frame000000_t000000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.152277; brightness=0.454090; contrast=0.243570; edge_density=0.079531; sharpness=0.001943
baseline_600,552,short,head_left,file-003.mp4,920,960,32.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file003_episode000920_frame000960_t032000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file003_episode000920_frame000960_t032000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.151514; brightness=0.454042; contrast=0.244185; edge_density=0.075104; sharpness=0.001938
cvat_batch_001,1,short,head_left,file-000.mp4,0,0,0.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000000_t000000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000000_frame000000_t000000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.145312; brightness=0.446108; contrast=0.247334; edge_density=0.078750; sharpness=0.002089
cvat_batch_001,2,short,head_left,file-000.mp4,5,960,32.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000005_frame000960_t032000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000005_frame000960_t032000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.142243; brightness=0.454153; contrast=0.242700; edge_density=0.072708; sharpness=0.002040
cvat_batch_001,3,short,head_left,file-000.mp4,10,1920,64.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000010_frame001920_t064000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000010_frame001920_t064000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.154778; brightness=0.453301; contrast=0.243872; edge_density=0.075469; sharpness=0.001902
cvat_batch_001,4,short,head_left,file-000.mp4,15,2880,96.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000015_frame002880_t096000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000015_frame002880_t096000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.155122; brightness=0.453875; contrast=0.243554; edge_density=0.074323; sharpness=0.001889
cvat_batch_001,5,short,head_left,file-000.mp4,20,3840,128.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000020_frame003840_t128000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000020_frame003840_t128000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.145268; brightness=0.454209; contrast=0.243181; edge_density=0.074479; sharpness=0.002010
cvat_batch_001,126,short,head_left,file-002.mp4,625,2880,96.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000625_frame002880_t096000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file002_episode000625_frame002880_t096000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.150752; brightness=0.454727; contrast=0.244432; edge_density=0.077031; sharpness=0.001951
cvat_batch_001,127,short,head_left,file-002.mp4,630,3840,128.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000630_frame003840_t128000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file002_episode000630_frame003840_t128000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.157310; brightness=0.454467; contrast=0.243271; edge_density=0.071875; sharpness=0.001848
cvat_batch_001,184,short,head_left,file-003.mp4,920,960,32.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file003_episode000920_frame000960_t032000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file003_episode000920_frame000960_t032000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.151514; brightness=0.454042; contrast=0.244185; edge_density=0.075104; sharpness=0.001938
