selected_index,dataset_split,camera,video_file,episode_index,frame_index,timestamp_seconds,source_frame,output_file,selection_reason,notes
1,short,head_left,file-000.mp4,26,5050,168.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000026_frame005050_t168333.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000026_frame005050_t168333.jpg,stratified_coverage,hard_score=0.111475; brightness=0.566554; contrast=0.163103; edge_density=0.124740; sharpness=0.003671
2,short,head_left,file-000.mp4,31,6010,200.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000031_frame006010_t200333.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000031_frame006010_t200333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.119173; brightness=0.583550; contrast=0.156154; edge_density=0.127865; sharpness=0.003785
3,short,head_left,file-000.mp4,35,6890,229.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000035_frame006890_t229667.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000035_frame006890_t229667.jpg,stratified_coverage,hard_score=0.112012; brightness=0.582254; contrast=0.148728; edge_density=0.112344; sharpness=0.003282
4,short,head_left,file-000.mp4,40,7770,259.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000040_frame007770_t259000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000040_frame007770_t259000.jpg,stratified_coverage,hard_score=0.117047; brightness=0.574313; contrast=0.160126; edge_density=0.132865; sharpness=0.003731
5,short,head_left,file-000.mp4,45,8650,288.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000045_frame008650_t288333.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000045_frame008650_t288333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117412; brightness=0.581499; contrast=0.157526; edge_density=0.124271; sharpness=0.003899
6,short,head_left,file-000.mp4,50,9690,323.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000050_frame009690_t323000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000050_frame009690_t323000.jpg,stratified_coverage,hard_score=0.108745; brightness=0.566075; contrast=0.163081; edge_density=0.116458; sharpness=0.003495
7,short,head_left,file-000.mp4,54,10410,347.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000054_frame010410_t347000.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000054_frame010410_t347000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117533; brightness=0.567843; contrast=0.165259; edge_density=0.140990; sharpness=0.004166
8,short,head_left,file-000.mp4,60,11530,384.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000060_frame011530_t384333.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000060_frame011530_t384333.jpg,stratified_coverage,hard_score=0.116533; brightness=0.579088; contrast=0.161517; edge_density=0.122031; sharpness=0.004038
9,short,head_left,file-000.mp4,65,12490,416.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000065_frame012490_t416333.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000065_frame012490_t416333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117352; brightness=0.581208; contrast=0.159305; edge_density=0.123073; sharpness=0.003932
10,short,head_left,file-000.mp4,68,13060,435.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000068_frame013060_t435333.jpg,task_A_dataset_frame/outputs/frames_selected/cvat_batch_001/short_head_left_file000_episode000068_frame013060_t435333.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.119148; brightness=0.584331; contrast=0.155869; edge_density=0.126719; sharpness=0.003726
