frame_id,dataset_split,camera,source_id,video_file,video_file_index,episode_index,source_frame_index,episode_frame_index,timestamp_seconds,source_video,output_file,width,height,source_fps,extract_fps,frame_stride
short_head_left_file000_episode000000_frame000000_t000000,short,head_left,short_head_left_file000,file-000.mp4,0,0,0,0,0.000000,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000000_t000000.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000010_t000333,short,head_left,short_head_left_file000,file-000.mp4,0,0,10,10,0.333333,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000010_t000333.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000020_t000667,short,head_left,short_head_left_file000,file-000.mp4,0,0,20,20,0.666667,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000020_t000667.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000030_t001000,short,head_left,short_head_left_file000,file-000.mp4,0,0,30,30,1.000000,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000030_t001000.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000040_t001333,short,head_left,short_head_left_file000,file-000.mp4,0,0,40,40,1.333333,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000040_t001333.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000050_t001667,short,head_left,short_head_left_file000,file-000.mp4,0,0,50,50,1.666667,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000050_t001667.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000060_t002000,short,head_left,short_head_left_file000,file-000.mp4,0,0,60,60,2.000000,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000060_t002000.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000070_t002333,short,head_left,short_head_left_file000,file-000.mp4,0,0,70,70,2.333333,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000070_t002333.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000080_t002667,short,head_left,short_head_left_file000,file-000.mp4,0,0,80,80,2.666667,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000080_t002667.jpg,640,480,30,3,10
short_head_left_file000_episode000000_frame000090_t003000,short,head_left,short_head_left_file000,file-000.mp4,0,0,90,90,3.000000,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000000_frame000090_t003000.jpg,640,480,30,3,10
