selected_index,dataset_split,camera,video_file,episode_index,frame_index,timestamp_seconds,source_frame,output_file,selection_reason,notes
1,short,head_left,file-000.mp4,1,240,8.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000001_frame000240_t008000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000001_frame000240_t008000.jpg,stratified_coverage+visual_hard_candidate,hard_score=0.117827; brightness=0.581999; contrast=0.154808; edge_density=0.127083; sharpness=0.003795
2,short,head_left,file-000.mp4,2,480,16.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000002_frame000480_t016000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000002_frame000480_t016000.jpg,stratified_coverage,hard_score=0.110760; brightness=0.571809; contrast=0.157671; edge_density=0.118125; sharpness=0.003487
3,short,head_left,file-000.mp4,7,1360,45.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000007_frame001360_t045333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000007_frame001360_t045333.jpg,stratified_coverage,hard_score=0.115947; brightness=0.575176; contrast=0.163626; edge_density=0.124844; sharpness=0.004169
4,short,head_left,file-000.mp4,9,1840,61.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000009_frame001840_t061333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000009_frame001840_t061333.jpg,stratified_coverage,hard_score=0.107318; brightness=0.560772; contrast=0.164542; edge_density=0.119323; sharpness=0.003568
5,short,head_left,file-000.mp4,12,2320,77.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000012_frame002320_t077333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000012_frame002320_t077333.jpg,stratified_coverage,hard_score=0.115533; brightness=0.580439; contrast=0.157377; edge_density=0.119896; sharpness=0.003673
6,short,head_left,file-000.mp4,14,2800,93.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000014_frame002800_t093333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000014_frame002800_t093333.jpg,stratified_coverage,hard_score=0.112135; brightness=0.571410; contrast=0.158531; edge_density=0.122656; sharpness=0.003589
7,short,head_left,file-000.mp4,16,3200,106.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000016_frame003200_t106667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000016_frame003200_t106667.jpg,stratified_coverage,hard_score=0.112606; brightness=0.577157; contrast=0.152736; edge_density=0.119479; sharpness=0.003406
8,short,head_left,file-000.mp4,19,3680,122.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000019_frame003680_t122667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000019_frame003680_t122667.jpg,stratified_coverage,hard_score=0.115002; brightness=0.575374; contrast=0.158196; edge_density=0.125885; sharpness=0.003763
9,short,head_left,file-000.mp4,21,4160,138.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000021_frame004160_t138667.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000021_frame004160_t138667.jpg,stratified_coverage,hard_score=0.111528; brightness=0.570177; contrast=0.159320; edge_density=0.122031; sharpness=0.003803
10,short,head_left,file-000.mp4,24,4650,155.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000024_frame004650_t155000.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000024_frame004650_t155000.jpg,stratified_coverage,hard_score=0.111405; brightness=0.567125; contrast=0.164870; edge_density=0.122083; sharpness=0.003748
11,short,head_left,file-000.mp4,26,5050,168.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000026_frame005050_t168333.jpg,task_A_dataset_frame/outputs/frames_selected/600_baseline/short_head_left_file000_episode000026_frame005050_t168333.jpg,stratified_coverage,hard_score=0.111475; brightness=0.566554; contrast=0.163103; edge_density=0.124740; sharpness=0.003671
