source_id,dataset_split,camera,chunk,video_file,source_path,status,notes
short_head_left_file000,short,head_left,chunk-000,file-000.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,selected_round1,existing extracted frames likely from this source but not yet verified
short_head_left_file001,short,head_left,chunk-000,file-001.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-001.mp4,selected_round1,
short_head_left_file002,short,head_left,chunk-000,file-002.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-002.mp4,selected_round1,
short_head_left_file003,short,head_left,chunk-000,file-003.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_short_1000_episode/videos/observation.images.head_left/chunk-000/file-003.mp4,selected_round1,
long_head_left_file000,long,head_left,chunk-000,file-000.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-000.mp4,deferred_round2,
long_head_left_file001,long,head_left,chunk-000,file-001.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-001.mp4,deferred_round2,
long_head_left_file002,long,head_left,chunk-000,file-002.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-002.mp4,deferred_round2,
long_head_left_file003,long,head_left,chunk-000,file-003.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-003.mp4,deferred_round2,
long_head_left_file004,long,head_left,chunk-000,file-004.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-004.mp4,deferred_round2,
long_head_left_file005,long,head_left,chunk-000,file-005.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-005.mp4,deferred_round2,
long_head_left_file006,long,head_left,chunk-000,file-006.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-006.mp4,deferred_round2,
long_head_left_file007,long,head_left,chunk-000,file-007.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-007.mp4,deferred_round2,
long_head_left_file008,long,head_left,chunk-000,file-008.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-008.mp4,deferred_round2,
long_head_left_file009,long,head_left,chunk-000,file-009.mp4,/home/grunt/teamProject/robotic_dogbot/challenge2026_dataset/Part_Sorting/part_sorting_long_756_episode/videos/observation.images.head_left/chunk-000/file-009.mp4,deferred_round2,
